collection,title,date,description,type,spatial,subject,source,identifier,file
District Consolidation Records,Page 13 - Consolidated Districts,,Extracted table showing district consolidation data for Page 13 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_13,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_13.jpg
District Consolidation Records,Page 14 - Central Rural Schools,,Extracted table showing district consolidation data for Page 14 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_14,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_14.jpg
District Consolidation Records,Page 15 - Union Free Schools,,Extracted table showing district consolidation data for Page 15 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_15,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_15.jpg
District Consolidation Records,Page 16 - Town School Units,,Extracted table showing district consolidation data for Page 16 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_16,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_16.jpg
District Consolidation Records,Page 17 - Unknown,,Extracted table showing district consolidation data for Page 17 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_17,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_17.jpg
District Consolidation Records,Page 18 - Unknown,,Extracted table showing district consolidation data for Page 18 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_18,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_18.jpg
District Consolidation Records,Page 19 - Central Rural Schools,,Extracted table showing district consolidation data for Page 19 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_19,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_19.jpg
District Consolidation Records,Page 20 - Union Free Schools,,Extracted table showing district consolidation data for Page 20 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_20,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_20.jpg
District Consolidation Records,Page 21 - Unknown,,Extracted table showing district consolidation data for Page 21 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_21,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_21.jpg
District Consolidation Records,Page 22 - Unknown,,Extracted table showing district consolidation data for Page 22 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_22,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_22.jpg
District Consolidation Records,Page 23 - Union Free Schools,,Extracted table showing district consolidation data for Page 23 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_23,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_23.jpg
District Consolidation Records,Page 24 - Town School Units,,Extracted table showing district consolidation data for Page 24 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_24,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_24.jpg
District Consolidation Records,Page 25 - Consolidated Districts,,Extracted table showing district consolidation data for Page 25 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_25,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_25.jpg
District Consolidation Records,Page 26 - Central Rural Schools,,Extracted table showing district consolidation data for Page 26 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_26,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_26.jpg
District Consolidation Records,Page 27 - Central Rural Schools,,Extracted table showing district consolidation data for Page 27 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_27,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_27.jpg
District Consolidation Records,Page 28 - Central Rural Schools,,Extracted table showing district consolidation data for Page 28 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_28,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_28.jpg
District Consolidation Records,Page 29 - Union Free Schools,,Extracted table showing district consolidation data for Page 29 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_29,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_29.jpg
District Consolidation Records,Page 30 - Town School Units,,Extracted table showing district consolidation data for Page 30 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_30,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_30.jpg
District Consolidation Records,Page 31 - Central Rural Schools,,Extracted table showing district consolidation data for Page 31 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_31,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_31.jpg
District Consolidation Records,Page 32 - Consolidated Districts,,Extracted table showing district consolidation data for Page 32 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_32,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_32.jpg
District Consolidation Records,Page 33 - Unknown,,Extracted table showing district consolidation data for Page 33 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_33,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_33.jpg
District Consolidation Records,Page 34 - Union Free Schools,,Extracted table showing district consolidation data for Page 34 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_34,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_34.jpg
District Consolidation Records,Page 35 - Town School Units,,Extracted table showing district consolidation data for Page 35 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_35,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_35.jpg
District Consolidation Records,Page 36 - Consolidated Districts,,Extracted table showing district consolidation data for Page 36 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_36,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_36.jpg
District Consolidation Records,Page 37 - Union Free Schools,,Extracted table showing district consolidation data for Page 37 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_37,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_37.jpg
District Consolidation Records,Page 38 - Consolidated Districts,,Extracted table showing district consolidation data for Page 38 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_38,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_38.jpg
District Consolidation Records,Page 39 - Unknown,,Extracted table showing district consolidation data for Page 39 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_39,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_39.jpg
District Consolidation Records,Page 40 - Union Free Schools,,Extracted table showing district consolidation data for Page 40 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_40,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_40.jpg
District Consolidation Records,Page 41 - Town School Units,,Extracted table showing district consolidation data for Page 41 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_41,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_41.jpg
District Consolidation Records,Page 42 - Consolidated Districts,,Extracted table showing district consolidation data for Page 42 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_42,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_42.jpg
District Consolidation Records,Page 43 - Central Rural Schools,,Extracted table showing district consolidation data for Page 43 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_43,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_43.jpg
District Consolidation Records,Page 44 - Central Rural Schools,,Extracted table showing district consolidation data for Page 44 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_44,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_44.jpg
District Consolidation Records,Page 45 - Central Rural Schools,,Extracted table showing district consolidation data for Page 45 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_45,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_45.jpg
District Consolidation Records,Page 46 - Union Free Schools,,Extracted table showing district consolidation data for Page 46 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_46,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_46.jpg
District Consolidation Records,Page 47 - Town School Units,,Extracted table showing district consolidation data for Page 47 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_47,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_47.jpg
District Consolidation Records,Page 48 - Consolidated Districts,,Extracted table showing district consolidation data for Page 48 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_48,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_48.jpg
District Consolidation Records,Page 49 - Central Rural Schools,,Extracted table showing district consolidation data for Page 49 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_49,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_49.jpg
District Consolidation Records,Page 50 - Union Free Schools,,Extracted table showing district consolidation data for Page 50 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_50,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_50.jpg
District Consolidation Records,Page 51 - Consolidated Districts,,Extracted table showing district consolidation data for Page 51 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_51,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_51.jpg
District Consolidation Records,Page 52 - Central Rural Schools,,Extracted table showing district consolidation data for Page 52 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_52,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_52.jpg
District Consolidation Records,Page 53 - Consolidated Districts,,Extracted table showing district consolidation data for Page 53 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_53,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_53.jpg
District Consolidation Records,Page 54 - Union Free Schools,,Extracted table showing district consolidation data for Page 54 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_54,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_54.jpg
District Consolidation Records,Page 55 - Union Free Schools,,Extracted table showing district consolidation data for Page 55 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_55,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_55.jpg
District Consolidation Records,Page 56 - Consolidated Districts,,Extracted table showing district consolidation data for Page 56 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_56,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_56.jpg
District Consolidation Records,Page 57 - Unknown,,Extracted table showing district consolidation data for Page 57 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_57,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_57.jpg
District Consolidation Records,Page 58 - Union Free Schools,,Extracted table showing district consolidation data for Page 58 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_58,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_58.jpg
District Consolidation Records,Page 59 - Town School Units,,Extracted table showing district consolidation data for Page 59 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_59,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_59.jpg
District Consolidation Records,Page 60 - Consolidated Districts,,Extracted table showing district consolidation data for Page 60 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_60,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_60.jpg
District Consolidation Records,Page 61 - Consolidated Districts,,Extracted table showing district consolidation data for Page 61 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_61,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_61.jpg
District Consolidation Records,Page 62 - Consolidated Districts,,Extracted table showing district consolidation data for Page 62 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_62,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_62.jpg
District Consolidation Records,Page 63 - Consolidated Districts,,Extracted table showing district consolidation data for Page 63 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_63,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_63.jpg
District Consolidation Records,Page 64 - Consolidated Districts,,Extracted table showing district consolidation data for Page 64 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_64,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_64.jpg
District Consolidation Records,Page 65 - Union Free Schools,,Extracted table showing district consolidation data for Page 65 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_65,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_65.jpg
District Consolidation Records,Page 66 - Town School Units,,Extracted table showing district consolidation data for Page 66 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_66,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_66.jpg
District Consolidation Records,Page 67 - Consolidated Districts,,Extracted table showing district consolidation data for Page 67 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_67,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_67.jpg
District Consolidation Records,Page 68 - Central Rural Schools,,Extracted table showing district consolidation data for Page 68 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_68,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_68.jpg
District Consolidation Records,Page 69 - Union Free Schools,,Extracted table showing district consolidation data for Page 69 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_69,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_69.jpg
District Consolidation Records,Page 70 - Consolidated Districts,,Extracted table showing district consolidation data for Page 70 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_70,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_70.jpg
District Consolidation Records,Page 71 - Union Free Schools,,Extracted table showing district consolidation data for Page 71 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_71,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_71.jpg
District Consolidation Records,Page 72 - Town School Units,,Extracted table showing district consolidation data for Page 72 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_72,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_72.jpg
District Consolidation Records,Page 73 - Consolidated Districts,,Extracted table showing district consolidation data for Page 73 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_73,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_73.jpg
District Consolidation Records,Page 74 - Central Rural Schools,,Extracted table showing district consolidation data for Page 74 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_74,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_74.jpg
District Consolidation Records,Page 75 - Central Rural Schools,,Extracted table showing district consolidation data for Page 75 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_75,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_75.jpg
District Consolidation Records,Page 76 - Union Free Schools,,Extracted table showing district consolidation data for Page 76 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_76,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_76.jpg
District Consolidation Records,Page 77 - Town School Units,,Extracted table showing district consolidation data for Page 77 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_77,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_77.jpg
District Consolidation Records,Page 78 - Consolidated Districts,,Extracted table showing district consolidation data for Page 78 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_78,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_78.jpg
District Consolidation Records,Page 79 - Central Rural Schools,,Extracted table showing district consolidation data for Page 79 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_79,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_79.jpg
District Consolidation Records,Page 80 - Central Rural Schools,,Extracted table showing district consolidation data for Page 80 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_80,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_80.jpg
District Consolidation Records,Page 81 - Union Free Schools,,Extracted table showing district consolidation data for Page 81 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_81,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_81.jpg
District Consolidation Records,Page 82 - Town School Units,,Extracted table showing district consolidation data for Page 82 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_82,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_82.jpg
District Consolidation Records,Page 83 - Consolidated Districts,,Extracted table showing district consolidation data for Page 83 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_83,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_83.jpg
District Consolidation Records,Page 84 - Unknown,,Extracted table showing district consolidation data for Page 84 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_84,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_84.jpg
District Consolidation Records,Page 85 - Union Free Schools,,Extracted table showing district consolidation data for Page 85 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_85,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_85.jpg
District Consolidation Records,Page 86 - Town School Units,,Extracted table showing district consolidation data for Page 86 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_86,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_86.jpg
District Consolidation Records,Page 87 - Central Rural Schools,,Extracted table showing district consolidation data for Page 87 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_87,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_87.jpg
District Consolidation Records,Page 88 - Unknown,,Extracted table showing district consolidation data for Page 88 - Unknown.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_88,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_88.jpg
District Consolidation Records,Page 89 - Union Free Schools,,Extracted table showing district consolidation data for Page 89 - Union Free Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_89,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_89.jpg
District Consolidation Records,Page 90 - Town School Units,,Extracted table showing district consolidation data for Page 90 - Town School Units.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_90,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_90.jpg
District Consolidation Records,Page 91 - Consolidated Districts,,Extracted table showing district consolidation data for Page 91 - Consolidated Districts.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_91,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_91.jpg
District Consolidation Records,Page 92 - Central Rural Schools,,Extracted table showing district consolidation data for Page 92 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_92,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_92.jpg
District Consolidation Records,Page 93 - Central Rural Schools,,Extracted table showing district consolidation data for Page 93 - Central Rural Schools.,Dataset,,District Consolidation; Tables,NYS Archives District Consolidation Data,table_page_93,https://raw.githubusercontent.com/zmuhls/csa/main/output/ocr/tables/thumbs/District-Consolidation-Data_100-116_page_93.jpg
